"singular","plural","gender","translation","mistakes"
"Rechtsgrundlage","Rechtsgrundlagen","f","fundamento legal",999
"Rechtsordnung","Rechtsordnungen","f","sistema legal",998
"Regierung","Regierungen","f","gobierno",998
"Resolution","Resolutionen","f","resolución",999
"Revolution","Revolutionen","f","revolución",1001
"Richter","Richter","m","juez",1000
"Räterepublik","Räterepubliken","f","república soviética / de consejos",1000
"Rückzug","Rückzüge","m","retirada",999
"Schutz","Schutze","m","protección",998
"Schöffe","Schöffen","m","juez",1000
"Selbstjustiz","-","f","justicia por mano propia",1001
"Soldat","Soldaten","m","soldado",997
"Sowjetunion","-","f","Unión Soviética",999
"Sportverein","Sportvereine","m","club deportivo",999
"Staat","Staaten","m","estado",1001
"Staat","Staaten","m","estado",1000
"Staatsangehörigkeit","Staatsangehörigkeiten","f","nacionalidad",997
"Staatsbürgerschaft","Staatsbürgerschaften","f","ciudadania",996
"Staatssicherheit","-","f","seguridad del estado (Stasi)",999
"Stadtoberhaupt","Stadtoberhäupter","n","jefe de la ciudad",1002
"Stellvertreter","Stellvertreter","m","suplente, representante",999
"Stellvertreterin","Stellvertreterinnen","f","suplente, representante",998
"Stolperstein","Stolpersteine","m","piedra de la memoria (lit. piedra de tropiezo)",998
"Test","Tests","m","prueba",997
"Tod","Tode","m","muerte",1000
"Todesstrafe","Todesstrafen","f","pena de muerte",996
"Unantastbarkeit","-","f","intangibilidad, inviolabilidad",998
"Ungleichbehandlung","Ungleichbehandlungen","f","trato desigual",999
"Unterhaltung","Unterhaltungen","f","entretenimiento, conversación",1000
"Unterlage","Unterlagen","f","documentos",999
"Verbot","Verbote","n","prohibición",1002
"Verbreitung","-","f","distribución",1000
"Verfahren","Verfahren","n","procedimiento",1001
"Verfassung","Verfassungen","f","constitución (ley)",998
"Verfolgung","Verfolgungen","f","persecución",1000
"Vergebung","-","f","perdón / remisión",1000
"Verkehr","-","m","tráfico / transporte",1000
"Verkehrstote","Verkehrstoten","mf","víctima mortal de tráfico",997
"Verleihung","Verleihungen","f","otorgamiento",999
"Versammlungsfreiheit","-","f","libertad de reunión",996
"Versorgung","Versorgungen","f","suministro / abastecimiento",999
"Volk","Völker","n","pueblo",999
"Volksbildung","-","f","educación pública / popular",998
"Vorschlag","Vorschläge","m","propuesta / sugerencia",999
"Waffenbesitz","Waffenbesitze","m","tenencia de armas",998
"Wahl","Wahlen","f","elección / votación",998
"Wahlrecht","-","n","derecho a votar",1000
"Wiedervereinigung","-","f","reunificación",1000
"Wirtschaftswunder","Wirtschaftswunder","n","milagro económico",1000
"Würde","Würden","f","dignidad",999
"Zionistenkongress","Zionistenkongresse","m","congreso sionista",1000
"Zuständigkeit","Zuständigkeiten","f","jurisdicción",996
"Zwangsarbeit","-","f","trabajo forzado",998
"Überfall","Überfälle","m","asalto / ataque / incursión",1000
