"adjective","comparative","superlative","translation","mistakes"
"gleichberechtigt","-","-","con igualdad de derechos",1.0
"glücklich","glücklicher","am glücklichsten","feliz, afortunado",1.0
"grausam","grausamer","am grausamsten","cruel, brutal",1.0
"groß","größer","am größten","grande",1.0
"großartig","großartiger","am großartigsten","grandioso, magnífico, excelente",1.0
"gut","besser","am besten","bueno",1.0
"gültig","-","-","válido",1.0
"heimisch","heimischer","am heimischsten","familiarizado, nacional",1.0
"heiter","heiterer/heitrer","am heitersten","alegre, divertido",1.0
"heiß","heißer","am heißesten","caliente",1.0
"hell","heller","am hellsten","claro",1.0
"historisch","historischer","am historischsten","histórico",1.0
"hoch","höher","am höchsten","alto",1.0
"hässlich","hässlicher","am hässlichsten","feo",1.0
"häufig","häufiger","am häufigsten","frecuente",1.0
"höflich","höflicher","am höflichsten","cortés, amable",1.0
"hübsch","hübscher","am hübschesten","lindo",1.0
"intelligent","intelligenter","am intelligentesten","inteligente",1.0
"interessant","interessanter","am interessantesten","interesante",1.0
"international","-","-","internacional",1.0
"judikativ","-","-","judicial",1.0
"jung","jünger","am jüngsten","joven",1.0
"jüdisch","-","-","judío",1.0
"kalt","kälter","am kältesten","frio",1.0
"klar","klarer","am klarsten","claro",1.0
"klein","kleiner","am kleinsten","pequeño",1.0
"klug","klüger","am klügsten","inteligente",1.0
"kommunal","-","-","municipal, local",1.0
"konsequent","konsequenter","am konsequentesten","consecuente",1.0
"kontrovers","kontroverser","am kontroversesten","controvertido",1.0
"korrekt","korrekter","am korrektesten","correcto",1.0
"krank","kränker","am kränksten","enfermo",1.0
"kräftig","kräftiger","am kräftigsten","fuerte",1.0
"kulturell","kultureller","am kulturellsten","cultural",1.0
"kurz","kürzer","am kürzesten","corto",1.0
"lang","länger","am längsten","largo",1.0
"langsam","langsamer","am langsamsten","lento",1.0
"laut","lauter","am lautesten","alto, fuerte",1.0
"lecker","leckerer/leckrer","am leckersten","rico, sabroso",1.0
"leer","leerer","am leersten","vacio",1.0
"legislativ","-","-","legislativo",1.0
"leicht","leichter","am leichtesten","liviano, fácil",1.0
"letzte","-","-","último, final",1.0
"lieb","lieber","am liebsten","querido",1.0
"link","linker","am linkesten","fraudulento, engañoso",1.0
"mental","-","-","mental",1.0
"muslimisch","-","-","musulmán",1.0
"möglich","möglicher","am möglichsten","posible",1.0
"müde","müder","am müdesten","cansado",1.0
"mühelos","müheloser","am mühelosesten","fácil",1.0
"nachhaltig","nachhaltiger","am nachhaltigsten","sostenible",1.0
"nachteilig","nachteiliger","am nachteiligsten","desventajoso",1.0
"nah","näher","am nächsten","cerca",1.0
"national","-","-","nacional",1.0
"neu","neuer","am neusten/neuesten","nuevo",1.0
"neutral","-","-","neutral",1.0
"niedrig","niedriger","am niedrigsten","bajo, humilde",1.0
"normal","normaler","am normalsten","normal",1.0
"notwendig","notwendiger","am notwendigsten","necesario, inevitable",1.0
"nötig","nötiger","am nötigsten","necesario, preciso",1.0
"nützlich","nützlicher","am nützlichsten","útil, provechoso",1.0
"oberflächlich","oberflächlicher","am oberflächlichsten","superficial",1.0
"parlamentarisch","-","-","parlamentario",1.0
"perfekt","-","-","perfecto",1.0
"politisch","politischer","am politischsten","político",1.0
"recht","rechter","am rechtesten","exacto, verdadero, correcto",1.0
"rechtmäßig","-","-","legítimo, legal",1.0
"rechtsstaatlich","-","-","basado en el estado de derecho",1.0
"reich","reicher","am reichsten","rico, abundante, lujoso, suntuoso",1.0
"religiös","-","-","religioso",1.0
"repräsentativ","repräsentativer","am repräsentativsten","representativo",1.0
"richtig","richtiger","am richtigsten","correcto, apropiado",1.0
"ruhig","ruhiger","am ruhigsten","tranquilo, quieto",1.0
"sauber","sauberer/saubrer","am saubersten","limpio, aseado",1.0
"schlau","schlauer","am schlauesten","astuto, listo",1.0
"schlecht","schlechter","am schlechtesten","mal",1.0
"schmutzig","schmutziger","am schmutzigsten","sucio",1.0
"schnell","schneller","am schnellsten","rapido",1.0
"schrecklich","schrecklicher","am schrecklichsten","horrible, horroroso",1.0
"schwierig","schwieriger","am schwierigsten","difícil, complicado",1.0
"schön","schöner","am schönsten","bello, hermoso, bonito",1.0
"selten","seltener","am seltensten","raro, curioso",1.0
"seltsam","seltsamer","am seltsamsten","extraño, singular",1.0
"sicher","sicherer/sichrer","am sichersten","seguro",1.0
"solidarisch","solidarischer","am solidarischsten","solidario",1.0
"sozial","sozialer","am sozialsten","social",1.0
"spät","später","am spätesten","tardío",1.0
"staatlich","-","-","estatal",1.0
"stark","stärker","am stärksten","fuerte",1.0
"still","stiller","am stillsten","tranquilo, silencioso, quieto",1.0
"strafbar","-","-","punible",1.0
"stundenlang","-","-","de varias horas",1.0
"säkular","-","-","secular",1.0
"süß","süßer","am süßesten","dulce",1.0
"teuer","teurer","am teuersten","caro",1.0
"tief","tiefer","am tiefsten","profundo, hondo, bajo",1.0
"tot","-","-","muerto",1.0
"treffend","treffender","am treffendsten","justo, adecuado",1.0
"umfangreich","umfangreicher","am umfangreichsten","extenso, amplio",1.0
"unabhängig","-","-","independiente",1.0
"ungefähr","-","-","casi, aproximadamente, aproximado, aproximativo",1.0
"unglücklich","unglücklicher","am unglücklichsten","infeliz, triste",1.0
"ungültig","-","-","inválido",1.0
"unmittelbar","-","-","inmediato, directo",1.0
"unmöglich","-","-","imposible",1.0
"unterschiedlich","unterschiedlicher","am unterschiedlichsten","diferente, distinto",1.0
"unverzichtbar","-","-","indispensable",1.0
"verantwortungsbewusst","verantwortungsbewusster","am verantwortungsbewusstesten","responsable",1.0
"verboten","-","-","prohibido",1.0
"verfassungsrechtlich","-","-","constitucional",1.0
"verfassungswidrig","-","-","inconstitucional",1.0
"vergeblich","vergeblicher","am vergeblichsten","vano, inútil",1.0
"verpflichtend","verpflichtender","am verpflichtendsten","obligatorio",1.0
"verpflichtet","-","-","obligado",1.0
"verrückt","verrückter","am verrücktesten","loco",1.0
"viel","mehr","am meisten","demasiado, mucho",1.0
"vielfältig","vielfältiger","am vielfältigsten","diverso, variado",1.0
"vollkommen","-","-","perfecto, completo, absoluto, total",1.0
"vorsichtig","vorsichtiger","am vorsichtigsten","prudente, cuidadoso",1.0
"vorteilhaft","vorteilhafter","am vorteilhaftesten","ventajoso",1.0
"wahrscheinlich","wahrscheinlicher","am wahrscheinlichsten","probable",1.0
"warm","wärmer","am wärmsten","caliente",1.0
"weit","weiter","am weitesten","extenso, ancho, lejano",1.0
"weltanschaulich","-","-","ideológico",1.0
"wenig","weniger","am wenigsten","poco",1.0
"wesentlich","wesentlicher","am wesentlichsten","esencial, fundamental",1.0
"wichtig","wichtiger","am wichtigsten","importante",1.0
"widerrechtlich","-","-","ilegal, ilícito",1.0
"wirksam","wirksamer","am wirksamsten","eficaz, efectivo",1.0
"wirtschaftlich","wirtschaftlicher","am wirtschaftlichsten","económico",1.0
"ziemlich","ziemlicher","am ziemlichsten","bastante, considerable",1.0
"zufrieden","zufriedener","am zufriedensten","contento, satisfecho",1.0
"zuständig","-","-","competente, responsable",1.0
"zuverlässig","zuverlässiger","am zuverlässigsten","fiable, seguro",1.0
"öffentlich","öffentlicher","am öffentlichsten","público",1.0
"überzeugend","überzeugender","am überzeugendsten","convincente",1.0
