"singular","plural","gender","translation","mistakes"
"Politikerin","Politikerinnen","f","política (mujer)",999
"Pressefreiheit","-","f","libertad de prensa",998
"Pressezensur","Pressezensuren","f","censura de prensa",996
"Prügelstrafe","Prügelstrafen","f","castigo corporal",999
"Rechnung","Rechnungen","f","factura, cuenta",1000
"Rechtsgrundlage","Rechtsgrundlagen","f","fundamento legal",997
"Rechtsordnung","Rechtsordnungen","f","sistema legal",996
"Regierung","Regierungen","f","gobierno",996
"Resolution","Resolutionen","f","resolución",1001
"Revolution","Revolutionen","f","revolución",1000
"Richter","Richter","m","juez",997
"Räterepublik","Räterepubliken","f","república soviética, de consejos",1001
"Rückzug","Rückzüge","m","retirada",997
"Schutz","Schutze","m","protección",997
"Schöffe","Schöffen","m","juez",998
"Selbstjustiz","-","f","justicia por mano propia",1001
"Soldat","Soldaten","m","soldado",996
"Sowjetunion","-","f","Unión Soviética",999
"Sportverein","Sportvereine","m","club deportivo",1000
"Staat","Staaten","m","estado",1002
"Staatsangehörigkeit","Staatsangehörigkeiten","f","nacionalidad",996
"Staatsbürgerschaft","Staatsbürgerschaften","f","ciudadania",997
"Staatssicherheit","-","f","seguridad del estado (Stasi)",998
"Stadtoberhaupt","Stadtoberhäupter","n","jefe de la ciudad",1002
"Stellvertreter","Stellvertreter","m","suplente, representante",998
"Stellvertreterin","Stellvertreterinnen","f","suplente, representante",997
"Stolperstein","Stolpersteine","m","piedra de la memoria (lit. piedra de tropiezo)",997
"Test","Tests","m","prueba",997
"Tod","Tode","m","muerte",1000
"Todesstrafe","Todesstrafen","f","pena de muerte",994
"Unantastbarkeit","-","f","intangibilidad, inviolabilidad",998
"Ungleichbehandlung","Ungleichbehandlungen","f","trato desigual",999
"Unterhaltung","Unterhaltungen","f","entretenimiento, conversación",999
"Unterlage","Unterlagen","f","documentos",999
"Verbot","Verbote","n","prohibición",1001
"Verbreitung","-","f","distribución",1000
"Verfahren","Verfahren","n","procedimiento",1000
"Verfassung","Verfassungen","f","constitución (ley)",997
"Verfolgung","Verfolgungen","f","persecución",1000
"Vergebung","-","f","perdón, remisión",1000
"Verkehr","-","m","tráfico, transporte",1000
"Verkehrstote","Verkehrstoten","mf","víctima mortal de tráfico",996
"Verleihung","Verleihungen","f","otorgamiento",997
"Versammlungsfreiheit","-","f","libertad de reunión",995
"Versorgung","Versorgungen","f","suministro, abastecimiento",998
"Volk","Völker","n","pueblo",998
"Volksbildung","-","f","educación pública, educación popular",997
"Vorschlag","Vorschläge","m","propuesta, sugerencia",996
"Waffenbesitz","Waffenbesitze","m","tenencia de armas",1000
"Wahl","Wahlen","f","elección, votación",998
"Wahlrecht","-","n","derecho a votar",1000
"Weihnachten","-","n","Navidad",1000
"Wiedervereinigung","-","f","reunificación",998
"Wirtschaftswunder","Wirtschaftswunder","n","milagro económico",1000
"Würde","Würden","f","dignidad",998
"Zionistenkongress","Zionistenkongresse","m","congreso sionista",999
"Zuständigkeit","Zuständigkeiten","f","jurisdicción",996
"Zwangsarbeit","-","f","trabajo forzado",997
"Überfall","Überfälle","m","asalto , ataque , incursión",1000
